nb_lines,nb_rows,n_neighbors,min_dist,n_components,moyenne reel,moyenne UMAP,std reel,std UMAP,deformation,cpu_time,p-value uniformité global,p-value normalité global,std ratio global,mean ratio global,p-value uni big,p-value norm big,mean ratio big,std ratio big,p-value uni small,p-value norm small,mean ratio small,std ratio small,jaccard similarity
100,50,15,0.1,1,41.62333729,15.10863593,22.31299644,12.44935907,2678.320116,2.140625,0,0,878.6535155,30.0726623,4.46E-051,5.57E-042,1.623536541,3.864195576,0,0,1242.049756,56.28112901,41.70148197
100,50,15,0.1,2,41.62333729,13.76658228,22.31299644,10.82141431,2790.810969,2.390625,0,0,8.154151547,6.999206125,6.15E-031,1.16E-036,0.9963197057,3.834658536,0,0,10.58106796,10.16375371,45.1305601
100,50,15,0.1,3,41.62333729,13.43574333,22.31299644,9.154317009,2792.49101,2.515625,0,0,6.050447841,6.374832897,2E-31,1.68E-031,0.47068636,3.302094997,0,1.82E-044,7.356008163,9.447570797,49.16595371
100,100,2,0.1,2,59.73416272,16.91504086,31.98100107,9.590144199,2561.601087,1.8125,0,0,66.24838588,9.411012491,0,0,4.237508933,5.468943297,0,0,93.42730308,13.35308169,59.33333333
100,100,15,0.1,2,59.73416272,13.08229132,31.98100107,9.749012423,3398.811797,2.359375,0,0,12.98347134,10.28907532,1.26E-023,3.61E-036,1.274348303,5.372059425,0,0,16.94588452,15.20609121,43.48089344
100,100,40,0.1,2,59.73416272,12.56020673,31.98100107,9.200017155,3469.190628,2.234375,0,0,25.38460776,11.43839479,5.14E-062,0,1.465604281,4.904479453,0,0,34.65868617,17.97231014,75.89226169
100,100,15,0.1,2,59.73416272,11.99217003,31.98100107,8.490420108,3494.345067,2.296875,0,0,13.35497198,10.48585535,0.0000000000348,1.05E-036,1.258777237,5.586989798,0,0,17.52507535,15.38472089,43.05669312
100,100,15,0.5,2,59.73416272,17.1851556,31.98100107,12.43906268,2966.096749,2.34375,0,0,8.811593723,6.854598002,1.88E-083,1.04E-039,0.7297037967,3.202056883,0,0,11.31696898,10.50713912,41.57586902
100,100,15,0.99,2,59.73416272,17.35929674,31.98100107,11.4586337,2830.951417,2.21875,0,0,5.081921396,5.410127941,1.19E-046,1.37E-037,0.513591518,3.74175021,0,0,6.769128851,7.078505672,43.20735386
100,100,15,0.1,1,59.73416272,17.08582396,31.98100107,13.5472879,3069.916151,2.25,0,0,267.9149112,25.35528093,1.81E-075,0,1.484023588,3.777965165,0,0,377.6551811,46.93259669,38.09084775
100,100,15,0.1,2,59.73416272,13.38899401,31.98100107,9.163375617,3363.04737,2.140625,0,0,13.06307761,9.971192117,2.56E-040,8.41E-045,0.8932558904,4.373361219,0,0,16.66789326,15.56902302,40.5244564
100,100,15,0.1,3,59.73416272,12.22355141,31.98100107,8.694986092,3482.851979,2.203125,0,0,8.953576453,9.721815811,2.5E-089,0,1.469792549,5.37607991,0,0,10.97278139,14.06755171,46.33306983
500,5,2,0.1,2,16.82667073,14.38122665,10.39839774,6.923963164,479881.4591,2.421875,0,0,269.7806798,5.104419074,0,0,1.456335092,1.911495229,0,0,381.4979946,8.297342919,338.6666667
500,5,15,0.1,2,16.82667073,13.67277321,10.39839774,9.086190038,16685.56186,4.21875,0,0,2.907348959,1.756844006,3.9E-130,0,0.1714777278,1.280909494,0,0,4.052520699,2.232778517,191.2193736
500,5,40,0.1,2,16.82667073,11.01161964,10.39839774,7.288733038,25211.85098,5.84375,0,0,2.312698059,2.090686831,1.25E-038,0,0.2187278483,1.515562761,0,0,3.160342918,2.6658109,208.3135964
500,5,15,0.1,2,16.82667073,13.5534653,10.39839774,8.724581252,17151.86952,4.140625,0,0,2.710987641,1.753971066,8.66E-027,0,0.2502601643,1.303506897,0,0,3.772325794,2.204435235,189.7217443
500,5,15,0.5,2,16.82667073,14.04639364,10.39839774,8.960439302,14074.87166,5,0,0,2.313120078,1.449703539,1.34E-067,0,0.4309787389,1.37495821,0,0,3.241007959,1.524448867,171.5227198
500,5,15,0.99,2,16.82667073,13.56439607,10.39839774,8.059124858,16273.39164,4.5625,0,0,1.150946194,1.333665982,1.1E-099,0,0.4632939729,1.485937024,0,0,1.545425519,1.181394939,156.5274091
500,5,15,0.1,1,16.82667073,13.29329035,10.39839774,10.12028063,23103.19245,4.640625,0,0,113.7702535,3.982404262,2.62E-109,0,0.597117077,1.514898142,0,0,160.8564808,6.449910382,141.9181482
500,5,15,0.1,2,16.82667073,11.8386636,10.39839774,7.442951384,20437.61748,4.421875,0,0,2.299035306,1.872434703,1.96E-018,0,0.2498435893,1.507961182,0,0,3.200472304,2.236908224,189.0475792
500,5,15,0.1,3,16.82667073,11.75356088,10.39839774,7.480276604,21186.10833,4.640625,0,0,1.120114653,1.818350438,8.14E-038,0,0.2821908319,1.512060426,0,0,1.497349279,2.12464045,219.5448558
500,15,2,0.1,2,19.94472893,13.72855877,10.54532202,6.666352967,75549.07704,2.40625,0,0,860.9801983,15.31627983,0,0,1.415099301,2.177495969,0,0,1217.467267,28.45506369,318.6666667
500,15,15,0.1,2,19.94472893,11.90603636,10.54532202,7.747815954,37632.72819,4.734375,0,0,6.816018758,3.34018682,1.22E-059,0,0.1987539564,1.702385552,0,0,9.354781361,4.977988087,120.6902461
500,15,40,0.1,2,19.94472893,12.56494049,10.54532202,8.468541859,38050.59686,5.859375,0,0,7.103880031,3.558294626,1.91E-058,0,0.2149344292,1.679822514,0,0,9.686418906,5.436766738,142.2674686
500,15,15,0.1,2,19.94472893,14.11031071,10.54532202,9.269831252,32185.45313,5.015625,0,0,9.757994876,3.206010389,5.6E-054,5.61E-045,0.1647759322,1.436512053,0,0,13.57009684,4.975508726,119.0457334
500,15,15,0.5,2,19.94472893,12.59364634,10.54532202,8.780688996,33634.73375,4.734375,0,0,3.030882405,2.549801259,1.07E-069,0,0.4249245099,1.886810354,0,0,4.160867888,3.212792164,108.2503478
500,15,15,0.99,2,19.94472893,9.928213874,10.54532202,5.612380083,35059.04927,4.796875,0,0,2.406552145,2.397413223,9.71E-211,0,0.3644793164,2.074477591,0,0,3.352844529,2.720348855,97.14439649
500,15,15,0.1,1,19.94472893,16.13944493,10.54532202,12.69218502,32595.6039,5,0,0,237.4760389,9.409852141,2.06E-099,0,0.3327475713,1.18266803,0,0,335.6400665,17.63703625,86.65958316
500,15,15,0.1,2,19.94472893,12.10591828,10.54532202,7.833663017,36694.76061,4.671875,0,0,6.4536675,3.346521246,3.12E-095,6.85E-029,0.1148579195,1.576550412,0,0,8.776153061,5.11649208,116.7344914
500,15,15,0.1,3,19.94472893,11.65182056,10.54532202,7.648683228,39176.69001,4.84375,0,0,3.073243314,3.088661354,4.32E-053,0,0.2040798439,1.766398287,0,0,3.918065991,4.41092442,141.3730197
500,25,2,0.1,2,30.00112221,13.46657041,16.43717723,6.596182815,56611.16737,2.40625,0,0,929.8377441,17.71856463,0,0,2.230373869,3.302024943,0,0,1314.829195,32.13510431,305.3333333
500,25,15,0.1,2,30.00112221,11.83622096,16.43717723,7.86487459,58595.68912,4.78125,0,0,7.575644653,4.859047958,3.1E-020,0,0.3834981496,2.691703472,0,0,10.25860365,7.026392445,99.3396068
500,25,40,0.1,2,30.00112221,11.69491447,16.43717723,8.266874728,60384.27074,6.46875,0,0,9.233943349,5.301756279,5.12E-128,0,0.9243202665,2.894304623,0,0,12.57320185,7.709207935,128.0911873
500,25,15,0.1,2,30.00112221,12.1086614,16.43717723,7.982039427,57663.2031,4.6875,0,0,8.730959468,4.802339889,6.38E-041,0,0.2719404583,2.365933886,0,0,11.85382666,7.238745893,99.02094739
500,25,15,0.5,2,30.00112221,11.35283568,16.43717723,6.998548118,55621.31393,4.75,0,0,4.853565479,3.756036021,5.04E-083,0,0.2711899495,2.590568941,0,0,6.65762906,4.921503101,89.35009274
500,25,15,0.99,2,30.00112221,9.962564559,16.43717723,6.229516132,57125.7417,5.09375,0,0,3.906241218,3.661745782,1.11E-182,0,0.9228045624,3.668854126,0,0,5.446629378,3.654637438,80.0146255
500,25,15,0.1,1,30.00112221,12.36528537,16.43717723,9.628596032,58526.97259,4.78125,0,0,2513.352341,20.90818826,2.35E-049,0,0.7670104446,3.08474207,0,0,3554.327508,38.73163445,75.2379874
500,25,15,0.1,2,30.00112221,12.57978801,16.43717723,8.17071069,55859.44701,4.765625,0,0,8.788857275,4.733839379,1.26E-053,1.98E-035,0.165380245,2.371256264,0,0,11.97067566,7.096422495,102.3742102
